census_year,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_description,number_of_seats,longitude,latitude,location
2022,184-192 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Bistrot D'Orsay,184 Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,50,144.9672766,-37.81485204,"-37.81485204470721, 144.9672766257"
2022,162-168 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The George on Collins,"Shop B1, Basement 162 Collins Street MELBOURNE VIC 3000","Pubs, Taverns and Bars",150,144.9678477,-37.81450292,"-37.814502920035494, 144.96784765085"
2022,162-168 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafenatics,"Shop 8, 162 Collins Street MELBOURNE VIC 3000",Takeaway Food Services,20,144.9678477,-37.81450292,"-37.814502920035494, 144.96784765085"
2022,86-88 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Indu,86A Collins Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",20,144.9705844,-37.81393677,"-37.81393676506883, 144.97058439059998"
2022,74-84 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Yakimono,3 Benson Walk MELBOURNE VIC 3000,Cafes and Restaurants,87,144.9706863,-37.81363931,"-37.81363930815, 144.9706863215771"
2022,74-84 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Yakimono,3 Benson Walk MELBOURNE VIC 3000,Cafes and Restaurants,252,144.9706863,-37.81363931,"-37.81363930815, 144.9706863215771"
2022,95-109 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Nick & Nora's,11 Benson Walk MELBOURNE VIC 3000,"Pubs, Taverns and Bars",240,144.9706863,-37.81363931,"-37.81363930815, 144.9706863215771"
2022,95-109 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Maverick Coffee And Food,95 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,50,144.9706863,-37.81363931,"-37.81363930815, 144.9706863215771"
2022,95-109 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Bowls Baby,97 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,3,144.9706863,-37.81363931,"-37.81363930815, 144.9706863215771"
2022,121-127 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Harry's At Stamford,Part Ground 121-127 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,200,144.969766,-37.81369204,"-37.81369203916043, 144.96976596554998"
2022,30-34 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),St Ali Canteen,Part Ground 30 Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,28,144.97247,-37.81346739,"-37.81346738690684, 144.97246995425002"
2022,24-28 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Sargon,"Shop 1, Ground 24-28 Collins Street MELBOURNE VIC 3000",Takeaway Food Services,18,144.9727015,-37.81341901,"-37.81341900975, 144.97270145145097"
2022,8 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Market Lane Coffee,Part Ground 8 Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,34,144.9732576,-37.81314318,"-37.813143184965384, 144.9732576387"
2022,8 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),La Belle Miette,Part Ground 8 Collins Street MELBOURNE VIC 3000,Other Specialised Food Retailing,6,144.9732576,-37.81314318,"-37.813143184965384, 144.9732576387"
2022,8 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),La Belle Miette,Part Ground 8 Collins Street MELBOURNE VIC 3000,Other Specialised Food Retailing,6,144.9732576,-37.81314318,"-37.813143184965384, 144.9732576387"
2022,8 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Market Lane Coffee,Part Ground 8 Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,10,144.9732576,-37.81314318,"-37.813143184965384, 144.9732576387"
2022,25-35 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Tsuru,25 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,50,144.9727054,-37.81289801,"-37.81289801159528, 144.9727053886"
