census_year,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_description,number_of_seats,longitude,latitude,location
2022,South Wharf Retail 20-30 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,Common Man,Shop TG01 39 Dukes Walk SOUTH WHARF VIC 3006,Cafes and Restaurants,79,144.9523193,-37.82542999,"-37.82542998795, 144.95231930285"
2022,South Wharf Retail 20-30 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,Bohemian Wine Bar,Shop TG03 20 Convention Centre Place SOUTH WHARF VIC 3006,Cafes and Restaurants,40,144.9523193,-37.82542999,"-37.82542998795, 144.95231930285"
2022,South Wharf Retail 20-30 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,Melbourne Cellar Door,Shop TG08 20 Convention Centre Place SOUTH WHARF VIC 3006,Cafes and Restaurants,204,144.9523193,-37.82542999,"-37.82542998795, 144.95231930285"
2022,South Wharf Retail 20-30 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,Common Man,Shop TG01 39 Dukes Walk SOUTH WHARF VIC 3006,Cafes and Restaurants,59,144.9523193,-37.82542999,"-37.82542998795, 144.95231930285"
2022,Melbourne Exhibition Centre 2 Clarendon Street SOUTH WHARF VIC 3006,Southbank,Melbourne Exhibition Centre,Melbourne Exhibition Centre 2 Clarendon Street SOUTH WHARF VIC 3006,Other Administrative Services n.e.c.,31,144.9523193,-37.82542999,"-37.82542998795, 144.95231930285"
2022,Pan Pacific Melbourne 2 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,Café Orr,Part 2 Convention Centre Place SOUTH WHARF VIC 3006,Cafes and Restaurants,8,144.9523193,-37.82542999,"-37.82542998795, 144.95231930285"
2022,Pan Pacific Melbourne 2 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,Pan Pacific Melbourne,Pan Pacific Melbourne 2 Convention Centre Place SOUTH WHARF VIC 3006,Accommodation,68,144.9523193,-37.82542999,"-37.82542998795, 144.95231930285"
2022,29-65 South Wharf Promenade SOUTH WHARF VIC 3006,Southbank,Charlie Lovett,43 South Wharf Promenade SOUTH WHARF VIC 3006,Cafes and Restaurants,76,144.9506146,-37.82411174,"-37.824111738400006, 144.95061461556418"
2022,29-65 South Wharf Promenade SOUTH WHARF VIC 3006,Southbank,Plus 5,37 South Wharf Promenade SOUTH WHARF VIC 3006,Cafes and Restaurants,80,144.9506146,-37.82411174,"-37.824111738400006, 144.95061461556418"
2022,Crown Casino Retail Precinct 27-45 Whiteman Street SOUTHBANK VIC 3006,Southbank,KFC,"Shop 102, Level 1 27 Whiteman Street SOUTHBANK VIC 3006",Cafes and Restaurants,75,144.9584422,-37.82540403,"-37.825404033, 144.95844223381087"
2022,Crown Metropol Hotel 57-91 Clarendon Street SOUTHBANK VIC 3006,Southbank,Crown Metropol,57-91 Clarendon Street SOUTHBANK VIC 3006,Accommodation,60,144.9584422,-37.82540403,"-37.825404033, 144.95844223381087"
2022,63-85 Queens Bridge Street SOUTHBANK VIC 3006,Southbank,My Goodness Pizza,"Suite 10, 186-188 City Road SOUTHBANK VIC 3006",Takeaway Food Services,25,144.9611936,-37.82386264,"-37.8238626433, 144.96119356125342"
2022,107-127 Queens Bridge Street SOUTHBANK VIC 3006,Southbank,Vegie Kitchen,"Unit 36, 113 Queens Bridge Street SOUTHBANK VIC 3006",Cafes and Restaurants,80,144.9607669,-37.82491321,"-37.8249132105, 144.96076689063568"
2022,207-229 City Road SOUTHBANK VIC 3006,Southbank,House of Cards,Part Ground 207 City Road SOUTHBANK VIC 3006,Cafes and Restaurants,28,144.9611649,-37.82577326,"-37.82577325675, 144.96116487361442"
2022,167-169 City Road SOUTHBANK VIC 3006,Southbank,Ink Hotel,167-169 City Road SOUTHBANK VIC 3006,Accommodation,68,144.9625029,-37.82439922,"-37.82439922245, 144.9625029162433"
2022,Gallery Tower 27-33 City Road SOUTHBANK VIC 3006,Southbank,Mezzi Bar,Part Ground 31 City Road SOUTHBANK VIC 3006,Cafes and Restaurants,40,144.9668649,-37.82174171,"-37.82174170834343, 144.96686485465"
2022,Triptych Apartments 8-10 Kavanagh Street SOUTHBANK VIC 3006,Southbank,Broad Bean Organic Grocer,26 Fanning Street SOUTHBANK VIC 3006,Fruit and Vegetable Retailing,12,144.9665558,-37.8224207,"-37.8224207028, 144.96655584375614"
2022,Century Tower Apartments 12-16 Kavanagh Street SOUTHBANK VIC 3006,Southbank,Saporito Taquito,Ground 12 Kavanagh Street SOUTHBANK VIC 3006,Cafes and Restaurants,50,144.9662583,-37.82261356,"-37.82261356490605, 144.96625827535"
2022,Century Tower Apartments 12-16 Kavanagh Street SOUTHBANK VIC 3006,Southbank,Saporito Taquito,Ground 12 Kavanagh Street SOUTHBANK VIC 3006,Cafes and Restaurants,18,144.9662583,-37.82261356,"-37.82261356490605, 144.96625827535"
2022,1-23 City Road SOUTHBANK VIC 3006,Southbank,Testing Ground,1-23 City Road SOUTHBANK VIC 3006,"Pubs, Taverns and Bars",50,144.9675231,-37.82137581,"-37.8213758077, 144.96752308838842"
2022,Royal Botanic Gardens Victoria Birdwood Avenue MELBOURNE VIC 3004,Melbourne (Remainder),Jardin Tan,Restaurant Old Observatory Building Royal Botanic Gardens Birdwood Avenue MELBOURNE VIC 3004,Cafes and Restaurants,81,144.9812819,-37.82952121,"-37.829521212749995, 144.9812818921444"
2022,Royal Botanic Gardens Victoria Birdwood Avenue MELBOURNE VIC 3004,Melbourne (Remainder),Tea rooms and Terrace Royal Botanic Gardens,Tea Rooms Royal Botanic Gardens Alexandra Avenue MELBOURNE VIC 3004,Cafes and Restaurants,200,144.9812819,-37.82952121,"-37.829521212749995, 144.9812818921444"
2022,Royal Botanic Gardens Victoria Birdwood Avenue MELBOURNE VIC 3004,Melbourne (Remainder),The Atlantic Group,Gardens House Royal Botanic Gardens Birdwood Avenue MELBOURNE VIC 3004,Catering Services,200,144.9812819,-37.82952121,"-37.829521212749995, 144.9812818921444"
2022,179-181 Domain Road SOUTH YARRA VIC 3141,South Yarra,No 179 Domain,179 Domain Road SOUTH YARRA VIC 3141,Cafes and Restaurants,21,144.9820355,-37.83431311,"-37.83431310932447, 144.9820354792"
2022,Alfred Hospital 23-99 Commercial Road PRAHRAN VIC 3181,Melbourne (Remainder),Alf's Cafe,"Shop 2-3, 55 Commercial Road MELBOURNE VIC 3004",Cafes and Restaurants,244,144.9828162,-37.8465703,"-37.84657030085, 144.9828162329293"
2022,Alfred Hospital 23-99 Commercial Road PRAHRAN VIC 3181,Melbourne (Remainder),My Serendipity Cafe,Part Baker Medical Research Institute 75 Commercial Road MELBOURNE VIC 3004,Cafes and Restaurants,18,144.9828162,-37.8465703,"-37.84657030085, 144.9828162329293"
2022,Victorian College Of Pharmacy 381-405 Royal Parade PARKVILLE VIC 3052,Parkville,Flipboard Cafe Parkville,Part Ground 399 Royal Parade PARKVILLE VIC 3052,Cafes and Restaurants,70,144.9586808,-37.78398217,"-37.78398217346317, 144.9586808048"
2022,367-377 Royal Parade PARKVILLE VIC 3052,Parkville,Parkside,Part Ground 369 Royal Parade PARKVILLE VIC 3052,Cafes and Restaurants,60,144.958563,-37.78492857,"-37.78492857485, 144.95856295221222"
2022,367-377 Royal Parade PARKVILLE VIC 3052,Parkville,Parkside,Part Ground 369 Royal Parade PARKVILLE VIC 3052,Cafes and Restaurants,48,144.958563,-37.78492857,"-37.78492857485, 144.95856295221222"
2022,367-377 Royal Parade PARKVILLE VIC 3052,Parkville,Mornin Vietnam,"Shop 1, Ground 369 Royal Parade PARKVILLE VIC 3052",Cafes and Restaurants,35,144.958563,-37.78492857,"-37.78492857485, 144.95856295221222"
2022,367-377 Royal Parade PARKVILLE VIC 3052,Parkville,Mornin Vietnam,"Shop 1, Ground 369 Royal Parade PARKVILLE VIC 3052",Cafes and Restaurants,12,144.958563,-37.78492857,"-37.78492857485, 144.95856295221222"
2022,52 Morrah Street PARKVILLE VIC 3052,Parkville,Cafe Piccolina,52 Morrah Street PARKVILLE VIC 3052,Cafes and Restaurants,24,144.9556721,-37.79525072,"-37.79525072264556, 144.95567207800002"
2022,Naughtons Hotel 43-49 Royal Parade PARKVILLE VIC 3052,Parkville,Naughtons Parkville Hotel,Naughtons Hotel 43-49 Royal Parade PARKVILLE VIC 3052,"Pubs, Taverns and Bars",70,144.957532,-37.79554429,"-37.79554428555, 144.95753197396974"
2022,Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,Parkville,Super 8,303 Grattan Street MELBOURNE VIC 3000,Cafes and Restaurants,40,144.9566714,-37.80018543,"-37.800185428999995, 144.95667139011434"
2022,Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,Parkville,Think Asia VCCC,323 Grattan Street MELBOURNE VIC 3000,Cafes and Restaurants,44,144.9566714,-37.80018543,"-37.800185428999995, 144.95667139011434"
2022,University High School 77 Story Street PARKVILLE VIC 3052,Parkville,Bocca Foods,Shop 77 Story Street PARKVILLE VIC 3052,Cafes and Restaurants,100,144.9560577,-37.79746696,"-37.797466961050006, 144.9560577072471"
2022,Melbourne Youth Justice Centre 866-934 Park Street PARKVILLE VIC 3052,Parkville,STREAT,Part Ground 900 Park Street PARKVILLE VIC 3052,Cafes and Restaurants,40,144.9450513,-37.77749448,"-37.77749447895, 144.94505127706657"
2022,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,Parkville,Shuji Sushi,"Tenancy 1, Ground 50 Flemington Road PARKVILLE VIC 3052",Cafes and Restaurants,32,144.9495226,-37.79363105,"-37.793631051343525, 144.9495226105"
2022,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,Parkville,The Farmacy Restaurant,Tenancy 18.02 Ground 48 Flemington Road PARKVILLE VIC 3052,Cafes and Restaurants,200,144.9495226,-37.79363105,"-37.793631051343525, 144.9495226105"
2022,Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,Parkville,Giraffe Lookout,Kiosk Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,Takeaway Food Services,55,144.9516318,-37.78462359,"-37.7846235909, 144.951631758144"
2022,Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,Parkville,Lakeside Sushi sushi,Restaurant Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,Cafes and Restaurants,240,144.9516318,-37.78462359,"-37.7846235909, 144.951631758144"
2022,285-313 Spencer Street DOCKLANDS VIC 3008,Docklands,Ichi Maki,"Shop 2, 313 Spencer Street DOCKLANDS VIC 3008",Takeaway Food Services,12,144.9510169,-37.81380704,"-37.81380704215, 144.95101685310576"
2022,Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008,Docklands,Spanish Doughnuts,"Shop 8A, Level 1 650 Collins Street DOCKLANDS VIC 3008",Takeaway Food Services,20,144.9522269,-37.81841173,"-37.818411730415505, 144.9522268972"
2022,Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008,Docklands,Red Rooster,"Shop 9, Ground 99 Spencer Street DOCKLANDS VIC 3008",Takeaway Food Services,36,144.9522269,-37.81841173,"-37.818411730415505, 144.9522268972"
2022,Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008,Docklands,Gaslight Project,Part Level 3 699 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,30,144.9522269,-37.81841173,"-37.818411730415505, 144.9522268972"
2022,Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008,Docklands,In A Rush Espresso,"Shop 8A, Ground 99 Spencer Street DOCKLANDS VIC 3008",Cafes and Restaurants,32,144.9522269,-37.81841173,"-37.818411730415505, 144.9522268972"
2022,Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008,Docklands,Hungry Jack's,"Shop 14, Level 1 650 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,100,144.9522269,-37.81841173,"-37.818411730415505, 144.9522268972"
2022,Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008,Docklands,Mad Mex,"Shop 7, Level 1 650 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,38,144.9522269,-37.81841173,"-37.818411730415505, 144.9522268972"
2022,Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008,Docklands,Network Public Bar & Pizzeria,"Shop 4-5, Ground 99 Spencer Street DOCKLANDS VIC 3008","Pubs, Taverns and Bars",155,144.9522269,-37.81841173,"-37.818411730415505, 144.9522268972"
2022,Spencer Outlet Centre 163-261 Spencer Street DOCKLANDS VIC 3008,Docklands,Starbucks,"Shop 201-203, Level 1 201 Spencer Street DOCKLANDS VIC 3008",Cafes and Restaurants,53,144.9505641,-37.81450897,"-37.814508973578526, 144.9505641426"
2022,Spencer Outlet Centre 163-261 Spencer Street DOCKLANDS VIC 3008,Docklands,Subway,Ground 221 Spencer Street DOCKLANDS VIC 3008,Takeaway Food Services,9,144.9505641,-37.81450897,"-37.814508973578526, 144.9505641426"
2022,Spencer Outlet Centre 163-261 Spencer Street DOCKLANDS VIC 3008,Docklands,Potto,"Shop 1, Level 1 201 Spencer Street DOCKLANDS VIC 3008",Cafes and Restaurants,22,144.9505641,-37.81450897,"-37.814508973578526, 144.9505641426"
2022,Spencer Outlet Centre 163-261 Spencer Street DOCKLANDS VIC 3008,Docklands,Hangar Cafe Spencer Street,"Shop 214, Level 1 201 Spencer Street DOCKLANDS VIC 3008",Cafes and Restaurants,98,144.9505641,-37.81450897,"-37.814508973578526, 144.9505641426"
2022,Spencer Outlet Centre 163-261 Spencer Street DOCKLANDS VIC 3008,Docklands,Hungry Jack's,Ground 167 Spencer Street DOCKLANDS VIC 3008,Cafes and Restaurants,52,144.9505641,-37.81450897,"-37.814508973578526, 144.9505641426"
2022,Spencer Outlet Centre 163-261 Spencer Street DOCKLANDS VIC 3008,Docklands,Quick fix,"Kiosk 1, Level 1 201 Spencer Street DOCKLANDS VIC 3008",Telecommunication Goods Wholesaling,16,144.9505641,-37.81450897,"-37.814508973578526, 144.9505641426"
2022,Spencer Outlet Centre 163-261 Spencer Street DOCKLANDS VIC 3008,Docklands,Coffee Rush,"Shop 310, Ground 229 Spencer Street DOCKLANDS VIC 3008",Cafes and Restaurants,8,144.9505641,-37.81450897,"-37.814508973578526, 144.9505641426"
2022,1010 La Trobe Street DOCKLANDS VIC 3008,Docklands,Coffee N All Customs House,Part Ground 1010 La Trobe Street DOCKLANDS VIC 3008,Cafes and Restaurants,69,144.9453769,-37.81455079,"-37.8145507872, 144.94537687635665"
2022,Marvel Stadium 122-148 Harbour Esplanade DOCKLANDS VIC 3008,Docklands,Melbourne Stadiums Limited,Marvel Stadium 740 Bourke Street DOCKLANDS VIC 3008,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",950,144.9475602,-37.81674198,"-37.81674197865, 144.94756024120727"
2022,677-681 La Trobe Street DOCKLANDS VIC 3008,Docklands,Peppers Docklands Hotel,681 La Trobe Street DOCKLANDS VIC 3008,Accommodation,16,144.9474926,-37.8148999,"-37.81489990395, 144.9474926474515"
2022,673-675 La Trobe Street DOCKLANDS VIC 3008,Docklands,Chai 'N' Chilli,"Shop 101, 673 La Trobe Street DOCKLANDS VIC 3008",Cafes and Restaurants,20,144.9474926,-37.8148999,"-37.81489990395, 144.9474926474515"
2022,Bourke Junction 700-704 Bourke Street DOCKLANDS VIC 3008,Docklands,Story Coffee & Food Store,Shop 3 Concourse 700 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,12,144.9493646,-37.81714507,"-37.81714506566416, 144.94936462985"
2022,Bourke Junction 700-704 Bourke Street DOCKLANDS VIC 3008,Docklands,Mr Grazier,Shop 4-5 Concourse 700 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,140,144.9493646,-37.81714507,"-37.81714506566416, 144.94936462985"
2022,Victoria Point 744-770 Bourke Street DOCKLANDS VIC 3008,Docklands,Katsu House,Shop 9 Level 4 Concourse 744 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,14,144.9473509,-37.81812972,"-37.81812972055, 144.94735092900342"
2022,Victoria Point 744-770 Bourke Street DOCKLANDS VIC 3008,Docklands,Origami Sushi & Noodles,Shop 8 Level 4 Concourse 744 Bourke Street DOCKLANDS VIC 3008,Takeaway Food Services,12,144.9473509,-37.81812972,"-37.81812972055, 144.94735092900342"
2022,Victoria Point 744-770 Bourke Street DOCKLANDS VIC 3008,Docklands,Espresso Dock,756B Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,8,144.9473509,-37.81812972,"-37.81812972055, 144.94735092900342"
2022,Victoria Point 744-770 Bourke Street DOCKLANDS VIC 3008,Docklands,Simply Indian,764 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,20,144.9473509,-37.81812972,"-37.81812972055, 144.94735092900342"
2022,Victoria Point 744-770 Bourke Street DOCKLANDS VIC 3008,Docklands,Espresso Dock,756B Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,12,144.9473509,-37.81812972,"-37.81812972055, 144.94735092900342"
2022,Victoria Point 744-770 Bourke Street DOCKLANDS VIC 3008,Docklands,Souperman Cafe and Kitchen,Shop 11 Level 4 Concourse 744 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,20,144.9473509,-37.81812972,"-37.81812972055, 144.94735092900342"
2022,Victoria Point 744-770 Bourke Street DOCKLANDS VIC 3008,Docklands,Teej Cafe,760 Bourke Street DOCKLANDS VIC 3008,Takeaway Food Services,4,144.9473509,-37.81812972,"-37.81812972055, 144.94735092900342"
2022,706-738 Bourke Street DOCKLANDS VIC 3008,Docklands,Hawkers Corner And Krabbys Crab Boil,Shop 6 Concourse 720 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,28,144.9491036,-37.8179124,"-37.8179124004, 144.94910359864056"
2022,706-738 Bourke Street DOCKLANDS VIC 3008,Docklands,Focaccino,Shop 5 Concourse 720 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,60,144.9491036,-37.8179124,"-37.8179124004, 144.94910359864056"
2022,706-738 Bourke Street DOCKLANDS VIC 3008,Docklands,Focaccino,Shop 5 Concourse 720 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,22,144.9491036,-37.8179124,"-37.8179124004, 144.94910359864056"
2022,Site One 747-757 Bourke Street DOCKLANDS VIC 3008,Docklands,The Nixon Hotel,749 Bourke Street DOCKLANDS VIC 3008,"Pubs, Taverns and Bars",150,144.947992,-37.81938088,"-37.8193808754, 144.94799200964053"
2022,The Podium Building 2-24 Waterview Walk DOCKLANDS VIC 3008,Docklands,Pizza Hut Docklands,57 Batmans Hill Drive DOCKLANDS VIC 3008,Cafes and Restaurants,43,144.947992,-37.81938088,"-37.8193808754, 144.94799200964053"
2022,The Podium Building 2-24 Waterview Walk DOCKLANDS VIC 3008,Docklands,Barlog,2 Waterview Walk DOCKLANDS VIC 3008,Cafes and Restaurants,44,144.947992,-37.81938088,"-37.8193808754, 144.94799200964053"
2022,The Podium Building 2-24 Waterview Walk DOCKLANDS VIC 3008,Docklands,Ginger Leaf Thai Restaurant,763 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,70,144.947992,-37.81938088,"-37.8193808754, 144.94799200964053"
2022,715-727 Bourke Street DOCKLANDS VIC 3008,Docklands,Cafe Saporo @ Docklands,"Shop 5-6, Ground 717 Bourke Street DOCKLANDS VIC 3008",Cafes and Restaurants,60,144.950245,-37.81865754,"-37.81865753823454, 144.9502450218"
2022,715-727 Bourke Street DOCKLANDS VIC 3008,Docklands,Asuka Sushi,"Shop 21, Level 4 717 Bourke Street DOCKLANDS VIC 3008",Cafes and Restaurants,28,144.950245,-37.81865754,"-37.81865753823454, 144.9502450218"
2022,715-727 Bourke Street DOCKLANDS VIC 3008,Docklands,Asuka Sushi,"Shop 21, Level 4 717 Bourke Street DOCKLANDS VIC 3008",Cafes and Restaurants,18,144.950245,-37.81865754,"-37.81865753823454, 144.9502450218"
2022,715-727 Bourke Street DOCKLANDS VIC 3008,Docklands,Travelodge Hotel Melbourne Docklands,Travelodge Docklands 66 Aurora Lane DOCKLANDS VIC 3008,Accommodation,150,144.950245,-37.81865754,"-37.81865753823454, 144.9502450218"
2022,Lantern 705-715 Collins Street DOCKLANDS VIC 3008,Docklands,Belluno Wine Bar,Part Ground 707 Collins Street DOCKLANDS VIC 3008,Cafes and Restaurants,86,144.951138,-37.82088249,"-37.82088249442511, 144.95113801219998"
2022,695-703 Collins Street DOCKLANDS VIC 3008,Docklands,Sergy Boy,"Shop 1-2, 699 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,58,144.9514686,-37.82020119,"-37.820201186000006, 144.95146864420656"
2022,Lion 737-743 Bourke Street DOCKLANDS VIC 3008,Docklands,Nine Elephants Thai Restaurant,Part Ground 737 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,38,144.9490689,-37.81920222,"-37.81920222122055, 144.94906886145"
2022,Lion 737-743 Bourke Street DOCKLANDS VIC 3008,Docklands,O-Bento,Part Ground 737 Bourke Street DOCKLANDS VIC 3008,Takeaway Food Services,34,144.9490689,-37.81920222,"-37.81920222122055, 144.94906886145"
2022,731-735 Bourke Street DOCKLANDS VIC 3008,Docklands,Platform 28,82 Village Street DOCKLANDS VIC 3008,Cafes and Restaurants,370,144.9498285,-37.81922043,"-37.81922042851071, 144.94982850455"
2022,731-735 Bourke Street DOCKLANDS VIC 3008,Docklands,Platform 28,82 Village Street DOCKLANDS VIC 3008,Cafes and Restaurants,90,144.9498285,-37.81922043,"-37.81922042851071, 144.94982850455"
2022,717-731 Collins Street DOCKLANDS VIC 3008,Docklands,Long Shot,"Tenancy 44, Ground 727 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,50,144.9501181,-37.82070279,"-37.82070279135, 144.95011811232098"
2022,733-747 Collins Street DOCKLANDS VIC 3008,Docklands,Subway,38 Batmans Hill Drive DOCKLANDS VIC 3008,Cafes and Restaurants,24,144.9494995,-37.82092926,"-37.8209292554, 144.94949950450552"
2022,14-24 Batmans Hill Drive DOCKLANDS VIC 3008,Docklands,Sushi & Nori,"Tenancy 42B, LwrGround 18 Batmans Hill Drive DOCKLANDS VIC 3008",Cafes and Restaurants,24,144.949822,-37.82131269,"-37.82131269085, 144.94982202525404"
2022,14-24 Batmans Hill Drive DOCKLANDS VIC 3008,Docklands,Meister,"Tenancy 36B, LwrGround 18 Batmans Hill Drive DOCKLANDS VIC 3008",Takeaway Food Services,15,144.949822,-37.82131269,"-37.82131269085, 144.94982202525404"
2022,Kangan TAFE 2-48 Harbour Esplanade DOCKLANDS VIC 3008,Docklands,Cafe La Kiss,1 Batmans Hill Drive DOCKLANDS VIC 3008,Cafes and Restaurants,32,144.9486227,-37.82202104,"-37.82202103918969, 144.9486227334"
2022,National@Docklands 788-812 Bourke Street DOCKLANDS VIC 3008,Docklands,In A Rush 800,"Part Tenancy 3, 800 Bourke Street DOCKLANDS VIC 3008",Cafes and Restaurants,30,144.94508,-37.81885105,"-37.81885105, 144.945079983583"
2022,National@Docklands 788-812 Bourke Street DOCKLANDS VIC 3008,Docklands,Tataki Noodles & Dumplings,"Shop 8, 800 Bourke Street DOCKLANDS VIC 3008",Cafes and Restaurants,70,144.94508,-37.81885105,"-37.81885105, 144.945079983583"
2022,National@Docklands 788-812 Bourke Street DOCKLANDS VIC 3008,Docklands,Rhumba's At Nab,"Shop 4-5, 800 Bourke Street DOCKLANDS VIC 3008",Cafes and Restaurants,38,144.94508,-37.81885105,"-37.81885105, 144.945079983583"
2022,National@Docklands 788-812 Bourke Street DOCKLANDS VIC 3008,Docklands,Tataki Noodles & Dumplings,"Shop 8, 800 Bourke Street DOCKLANDS VIC 3008",Cafes and Restaurants,25,144.94508,-37.81885105,"-37.81885105, 144.945079983583"
2022,National@Docklands 788-812 Bourke Street DOCKLANDS VIC 3008,Docklands,Watermark Docklands,"Shop 9, 800 Bourke Street DOCKLANDS VIC 3008","Pubs, Taverns and Bars",100,144.94508,-37.81885105,"-37.81885105, 144.945079983583"
2022,Library at The Dock 107-117 Victoria Harbour Promenade DOCKLANDS VIC 3008,Docklands,Pouring for a Purpose,Part Ground 107 Victoria Harbour Promenade DOCKLANDS VIC 3008,Cafes and Restaurants,30,144.9405238,-37.82003429,"-37.82003429485, 144.94052378251783"
2022,829-843 Bourke Street DOCKLANDS VIC 3008,Docklands,Grain & Vine on Merchant,73A Merchant Street DOCKLANDS VIC 3008,Cafes and Restaurants,6,144.9434599,-37.82044558,"-37.8204455766, 144.94345993523592"
2022,829-843 Bourke Street DOCKLANDS VIC 3008,Docklands,Tap 831,829-831A Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,118,144.9434599,-37.82044558,"-37.8204455766, 144.94345993523592"
2022,829-843 Bourke Street DOCKLANDS VIC 3008,Docklands,Shinsei Fish And Sushi,"Kiosk 1, 67 Merchant Street DOCKLANDS VIC 3008",Cafes and Restaurants,52,144.9434599,-37.82044558,"-37.8204455766, 144.94345993523592"
2022,829-843 Bourke Street DOCKLANDS VIC 3008,Docklands,Merchant Society,71 Merchant Street DOCKLANDS VIC 3008,Cafes and Restaurants,25,144.9434599,-37.82044558,"-37.8204455766, 144.94345993523592"
2022,EXO Apartments 33-61 Merchant Street DOCKLANDS VIC 3008,Docklands,Vintams Cafe,862 Collins Street DOCKLANDS VIC 3008,Cafes and Restaurants,64,144.9436819,-37.82092845,"-37.82092845245, 144.94368188299617"
2022,EXO Apartments 33-61 Merchant Street DOCKLANDS VIC 3008,Docklands,Panda coffee and tea,858 Collins Street DOCKLANDS VIC 3008,Takeaway Food Services,10,144.9436819,-37.82092845,"-37.82092845245, 144.94368188299617"
2022,Serrata Apartments 813-817 Bourke Street DOCKLANDS VIC 3008,Docklands,Signature Pho Viet,813 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,50,144.9446907,-37.81994818,"-37.8199481825, 144.94469069475525"
2022,Serrata Apartments 813-817 Bourke Street DOCKLANDS VIC 3008,Docklands,TOSS'D,7 Buckley Walk DOCKLANDS VIC 3008,Cafes and Restaurants,22,144.9446907,-37.81994818,"-37.8199481825, 144.94469069475525"
2022,ANZ 791-833 Collins Street DOCKLANDS VIC 3008,Docklands,In A Rush Espresso,"Shop 11P, 833 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,54,144.9457013,-37.82206262,"-37.82206262355, 144.94570130868357"
2022,ANZ 791-833 Collins Street DOCKLANDS VIC 3008,Docklands,In A Rush Espresso,"Shop 11P, 833 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,35,144.9457013,-37.82206262,"-37.82206262355, 144.94570130868357"
2022,ANZ 791-833 Collins Street DOCKLANDS VIC 3008,Docklands,Elements Cafe,"Shop 18C, 833 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,128,144.9457013,-37.82206262,"-37.82206262355, 144.94570130868357"
2022,ANZ 791-833 Collins Street DOCKLANDS VIC 3008,Docklands,Volume Cafe,"Shop 15C, 833 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,64,144.9457013,-37.82206262,"-37.82206262355, 144.94570130868357"
2022,ANZ 791-833 Collins Street DOCKLANDS VIC 3008,Docklands,Caffe Esc,"Shop 1P, 833 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,27,144.9457013,-37.82206262,"-37.82206262355, 144.94570130868357"
2022,131-141 Harbour Esplanade DOCKLANDS VIC 3008,Docklands,Off With The Ferries,Part 131-141 Harbour Esplanade DOCKLANDS VIC 3008,Cafes and Restaurants,20,144.9452948,-37.81711586,"-37.81711585817223, 144.94529483205"
